epoch,box,cls,obj,kpt,Recall,Precision,mAP@50,F1,mAP
301,1.134,0.555,1.198,0.200,0.497,0.786,0.560,0.609,0.276
302,1.113,0.544,1.159,0.200,0.497,0.786,0.560,0.609,0.276
303,1.146,0.559,1.198,0.196,0.496,0.788,0.561,0.609,0.277
304,1.143,0.554,1.222,0.199,0.496,0.788,0.561,0.609,0.277
305,1.119,0.550,1.177,0.199,0.497,0.787,0.561,0.609,0.276
306,1.136,0.559,1.187,0.195,0.497,0.788,0.561,0.609,0.276
307,1.090,0.541,1.157,0.199,0.497,0.788,0.561,0.609,0.277
308,1.164,0.565,1.228,0.200,0.496,0.791,0.561,0.610,0.277
309,1.146,0.562,1.205,0.195,0.497,0.790,0.561,0.610,0.277
310,1.142,0.561,1.198,0.198,0.497,0.790,0.561,0.610,0.277
311,1.145,0.561,1.187,0.195,0.497,0.789,0.561,0.610,0.277
312,1.146,0.553,1.225,0.199,0.497,0.789,0.561,0.610,0.277
313,1.148,0.562,1.192,0.194,0.498,0.788,0.561,0.610,0.277
314,1.126,0.551,1.176,0.201,0.499,0.788,0.562,0.611,0.277
315,1.159,0.559,1.207,0.199,0.499,0.788,0.562,0.611,0.277
316,1.114,0.546,1.167,0.198,0.498,0.789,0.562,0.610,0.277
317,1.144,0.557,1.204,0.198,0.497,0.789,0.562,0.610,0.277
318,1.182,0.570,1.243,0.197,0.497,0.789,0.562,0.610,0.277
319,1.146,0.551,1.208,0.201,0.497,0.789,0.562,0.610,0.277
320,1.144,0.563,1.202,0.194,0.497,0.789,0.562,0.610,0.277
321,1.127,0.557,1.205,0.196,0.497,0.790,0.562,0.610,0.277
322,1.169,0.567,1.238,0.193,0.497,0.790,0.562,0.610,0.277
323,1.157,0.564,1.208,0.193,0.497,0.792,0.563,0.610,0.277
324,1.149,0.559,1.208,0.191,0.497,0.792,0.563,0.611,0.277
325,1.116,0.549,1.176,0.196,0.498,0.792,0.563,0.611,0.277
